qid,r1,r2,Controversial question
3,1.5,1.75,False
19,1.5,2.0,False
30,1.8,2.6,False
31,3.6,4.2,False
32,3.2,4.0,False
57,1.6,3.2,False
71,4.0,4.8,True
74,1.8,3.6,False
85,1.0,2.4,False
111,2.5,2.5,False
129,2.0,2.8,False
159,3.8,4.4,False
160,3.6,3.8,False
173,1.2,2.6,False
199,1.4,2.4,False
244,3.8,4.2,False
247,3.6,4.4,False
251,2.33333333333333,4.0,False
283,2.8,2.4,False
292,2.0,2.8,False
294,1.8,3.8,False
310,3.4,3.2,False
311,1.8,3.6,False
312,1.6,3.8,False
314,1.0,1.75,False
343,1.0,2.25,False
371,1.88888888888889,2.83333333333333,False
386,1.0,1.0,False
401,1.6,3.0,False
402,1.6,3.0,False
407,3.8,4.4,False
408,3.8,4.4,False
419,3.4,3.8,False
425,2.5,3.25,False
457,1.0,1.5,False
489,1.6,2.8,False
490,1.6,1.8,False
499,2.75,3.25,False
511,1.25,3.5,False
517,1.2,2.4,False
519,1.0,1.4,False
546,1.0,3.4,False
559,2.0,1.8,False
568,1.8,4.2,False
589,1.0,1.0,False
590,1.88888888888889,3.88888888888889,False
598,3.3,3.9,False
607,3.2,3.8,False
643,2.0,3.0,False
651,1.8,1.8,False
676,1.4,2.8,False
686,2.0,4.8,False
702,1.8,2.8,False
731,4.0,4.8,True
734,3.0,4.2,False
758,1.25,1.75,False
824,3.4,4.2,False
855,2.2,4.0,False
869,2.0,3.0,False
877,1.8,3.4,False
890,1.4,3.2,False
898,2.0,3.4,False
905,1.85714285714286,2.71428571428571,False
918,1.6,2.6,False
960,2.2,2.8,False
983,3.0,3.6,False
991,1.5,1.75,False
1002,4.53333333333333,4.8,True
1032,2.2,3.8,False
1042,3.2,4.0,False
1059,4.6,4.6,True
1063,3.8,4.4,False
1066,2.33333333333333,3.33333333333333,False
1073,2.6,3.2,False
1084,4.0,4.0,True
1100,2.6,4.0,False
1108,1.8,3.6,False
1114,1.2,2.2,False
1123,1.6,2.4,False
1132,3.8,4.4,False
1142,1.8,2.2,False
1144,3.8,3.6,False
1158,2.2,3.2,False
1178,4.35,4.55,True
1179,3.5,3.5,False
1182,1.9,2.8,False
1183,2.4,3.4,False
1193,1.2,2.4,False
1194,3.0,3.5,False
1195,2.25,3.5,False
1198,1.8,3.0,False
1202,1.6,3.4,False
1206,1.46666666666667,2.2,False
1214,4.06666666666667,4.4,True
1225,1.0,3.2,False
1241,1.6,3.2,False
1258,1.0,2.4,False
1272,3.6,4.2,False
1284,1.8,3.33333333333333,False
1322,1.2,2.2,False
1327,4.0,4.4,True
1328,4.6,4.8,True
1375,1.0,3.4,False
1410,3.8,4.4,False
1436,2.6,4.0,False
1438,1.4,1.6,False
1448,3.2,4.0,False
1449,3.8,4.4,False
1461,3.6,4.2,False
1465,2.2,3.4,False
1472,2.6,3.2,False
1529,1.2,1.2,False
1540,4.0,4.4,True
1550,2.0,3.8,False
1557,4.0,4.6,True
1565,4.6,4.8,True
1587,1.0,3.2,False
1605,1.0,1.8,False
1608,2.2,3.6,False
1631,1.4,2.6,False
1678,4.2,4.6,True
1682,1.2,3.2,False
1699,3.2,3.0,False
1717,1.8,2.6,False
1723,3.6,4.0,False
1734,4.4,5.0,True
1749,1.78571428571429,3.42857142857143,False
1756,3.0,2.4,False
1757,1.66666666666667,1.66666666666667,False
1765,1.4,4.0,False
1779,1.5,1.875,False
1792,1.2,1.6,False
1807,1.6,2.0,False
1811,2.5,3.0,False
1812,1.6,2.4,False
1816,2.8,3.8,False
1829,2.75,3.0,False
1841,1.61111111111111,2.16666666666667,False
1842,1.0,1.0,False
1859,1.2,2.8,False
1863,4.64285714285714,4.71428571428571,True
1870,1.4,1.6,False
1903,4.6,4.8,True
1904,5.0,5.0,True
1910,2.4,3.0,False
1932,2.8,3.2,False
1950,3.2,4.4,False
1961,2.6,2.8,False
1962,1.2,2.2,False
1970,1.0,1.8,False
1977,4.2,4.2,True
1978,4.6,4.4,True
1984,2.5,3.5,False
1991,1.4,2.4,False
2010,3.6,4.2,False
2020,2.0,4.2,False
2044,1.2,2.2,False
2068,1.2,2.2,False
2093,3.2,4.0,False
2151,1.6,2.8,False
2152,1.42857142857143,4.14285714285714,False
2153,1.25,3.0,False
2157,2.8,3.8,False
2175,4.8,4.9,True
2187,1.0,2.2,False
2198,2.6,3.4,False
2204,1.6,3.4,False
2215,2.0,3.6666666666666705,False
2250,3.0,3.8,False
2266,1.0,1.8,False
2270,4.2,4.0,True
2286,1.8,2.0,False
2291,2.0,3.6,False
2304,1.4,3.6,False
2310,1.0,3.2,False
2370,1.4,3.0,False
2389,1.2,3.8,False
2399,1.8,4.2,False
2404,1.0,1.2,False
2420,2.8,4.4,False
2437,2.4,3.6,False
2443,3.8,4.3,False
2457,3.8,4.4,False
2470,2.8,4.2,False
2494,1.4,2.4,False
2532,2.6,3.4,False
2559,3.0,4.2,False
2561,1.5,2.6,False
2574,1.2,2.4,False
2580,1.6,3.0,False
2607,1.0,2.6,False
2619,1.2,2.2,False
2634,1.0,2.2,False
2636,3.8,4.8,False
2637,4.4,4.6,True
2654,1.44444444444444,1.55555555555556,False
2656,4.1,4.5,True
2675,2.0,4.1,False
2680,1.6,2.4,False
2683,5.0,5.0,True
2704,1.6,2.0,False
2706,1.0,1.8,False
2711,1.4,2.8,False
2713,2.6,3.6,False
2740,2.6,2.2,False
2741,4.6,4.6,True
2770,1.8,2.0,False
2773,1.4,3.0,False
2779,1.0,1.0,False
2820,3.6,4.2,False
2821,4.4,4.6,True
2828,3.6,4.2,False
2856,1.2,1.6,False
2869,1.0,2.6,False
2880,2.0,4.2,False
2895,1.0,1.2,False
2926,3.6,3.6,False
2927,1.0,1.6,False
2943,2.6,4.6,False
2944,4.8,4.8,True
2980,1.2,2.2,False
2997,1.8,3.8,False
2998,2.6,3.6,False
3034,1.4,2.7,False
3042,3.8,4.6,False
3043,2.8,3.4,False
3098,4.2,4.8,True
3105,2.2,3.6,False
3117,3.0,3.8,False
3121,1.6,3.2,False
3156,3.8,4.5,False
3158,1.4,2.0,False
3200,1.6,2.8,False
3216,1.2,2.2,False
3221,1.4,2.8,False
3230,3.2,4.2,False
3231,3.8,3.6,False
3248,1.4,1.6,False
3260,2.1,3.6,False
3267,4.2,4.6,True
3292,1.8,2.2,False
3293,2.0,3.25,False
3295,1.66666666666667,2.26666666666667,False
3301,2.2,2.0,False
3329,3.8,4.4,False
3330,4.46666666666667,4.66666666666667,True
3336,3.8,4.4,False
3344,1.0,2.33333333333333,False
3349,1.44444444444444,2.5,False
3358,4.6,4.6,True
3375,1.6,1.6,False
3376,1.4,2.2,False
3377,1.2,2.2,False
3388,3.0,3.4,False
3405,1.75,2.0,False
3412,4.0,4.2,True
3441,1.4,2.2,False
3471,3.6,4.0,False
3484,1.2,3.0,False
3506,1.4,2.2,False
3507,2.0,4.8,False
3512,1.8,2.4,False
3524,2.4,3.8,False
3525,2.2,3.0,False
3541,2.2,2.2,False
3544,2.0,4.2,False
3596,2.2,3.2,False
3614,1.8,2.4,False
3632,2.14285714285714,2.28571428571429,False
3661,4.3,4.6,True
3665,1.4,1.6,False
3686,1.6,2.2,False
3701,4.0,4.2,True
3707,1.8,2.6,False
3749,4.2,4.6,True
3763,3.8,4.4,False
3774,1.2,2.2,False
3788,1.2,1.8,False
3883,1.6,2.4,False
3908,1.0,2.4,False
3945,3.2,3.4,False
3955,1.66666666666667,3.0,False
3963,1.6,3.0,False
3978,3.2,3.2,False
3990,1.0,1.4,False
3999,3.8,4.2,False
4017,1.14285714285714,2.85714285714286,False
4018,1.25,2.5,False
4033,1.8,3.0,False
4039,1.66666666666667,3.33333333333333,False
4044,1.6,3.0,False
4047,2.9,4.4,False
4084,1.6,1.8,False
4111,1.6,1.4,False
4137,3.2,4.2,False
4139,1.0,1.6,False
4150,2.4,3.6,False
4151,2.0,4.0,False
4152,2.6,3.2,False
4167,1.6,3.0,False
4169,1.6,3.4,False
4234,1.2,2.0,False
4242,2.0,2.4,False
4250,2.0,3.2,False
4264,2.05882352941176,3.29411764705882,False
4268,3.4,4.4,False
4284,2.0,2.8,False
4285,1.4,2.5,False
4290,2.15,3.55,False
4297,4.8,4.8,True
4304,2.0,3.6,False
4305,3.6,3.6,False
4310,1.8,3.4,False
4322,1.6,3.8,False
4324,1.4,2.8,False
4331,3.4,4.4,False
4370,3.2,4.6,False
4399,1.8,2.4,False
4419,3.4,4.6,False
4423,4.4,4.6,True
4424,4.4,4.6,True
4429,2.4,3.2,False
4450,3.4,4.6,False
4462,2.0,3.2,False
4483,2.6,3.8,False
4490,3.4,4.0,False
4528,4.2,4.4,True
4552,2.8,3.6,False
4569,1.0,1.6,False
4614,3.2,4.4,False
4616,4.0,4.4,True
4623,4.2,4.8,True
4624,4.8,5.0,True
4632,2.5,3.5,False
4653,1.2,2.6,False
4680,3.4,3.6,False
4716,4.2,4.4,True
4728,3.4,3.4,False
4734,1.4,2.8,False
4743,1.4,1.4,False
4754,4.7,4.9,True
4776,1.0,2.5,False
4791,3.5,3.5,False
4806,1.0,1.0,False
4807,1.5,1.25,False
4809,2.6,4.2,False
4813,3.8,3.8,False
4833,4.2,5.0,True
4861,2.0,2.4,False
4862,1.8,3.0,False
4874,1.4,2.4,False
4893,1.5,2.9,False
4937,1.8,3.0,False
4944,4.8,4.8,True
4945,3.4,4.6,False
4964,1.25,2.25,False
4965,1.2,2.6,False
4990,3.4,4.6,False
4997,1.75,2.0,False
4999,3.4,4.6,False
5017,2.2,2.8,False
5043,2.6,3.6,False
5054,1.2,2.8,False
5059,1.0,1.2,False
5100,1.0,2.11111111111111,False
5123,2.4,3.0,False
5125,1.0,1.0,False
5136,2.4,3.8,False
5137,3.6,4.2,False
5139,1.6,2.4,False
5142,2.6,4.4,False
5144,2.8,4.3,False
5186,1.5,4.25,False
5197,2.0,2.2,False
5203,1.6,1.8,False
5214,1.6,2.4,False
5215,1.2,1.8,False
5217,1.6,3.0,False
5234,1.2,2.4,False
5246,1.6,3.4,False
5266,1.2,2.4,False
5278,4.2,4.6,True
5298,2.2,2.6,False
5315,4.1,4.6,True
5325,3.6,4.0,False
5339,1.4,1.8,False
5341,1.0,2.0,False
5358,3.2,4.2,False
5456,4.1,4.5,True
5458,3.8,4.0,False
5474,1.6,3.2,False
5489,2.66666666666667,3.73333333333333,False
5510,2.5,3.25,False
5521,2.0,4.25,False
5561,4.4,4.6,True
5562,4.26666666666667,4.93333333333333,True
5569,4.4,4.8,True
5570,3.4,4.6,False
5575,4.4,4.8,True
5618,4.8,5.0,True
5639,3.4,4.0,False
5664,1.61538461538462,3.92307692307692,False
5669,4.2,4.4,True
5690,3.2,4.2,False
5692,1.6,2.6,False
5716,2.2,3.0,False
5726,1.4,2.0,False
5745,1.6,3.0,False
5748,3.4,4.6,False
5767,2.8,4.0,False
5796,4.4,4.0,True
5813,3.25,3.75,False
5814,3.6,4.2,False
5817,3.75,4.5,False
5856,1.25,1.5,False
5892,1.2,2.0,False
5921,3.2,3.4,False
5934,3.5,3.0,False
5994,4.6,4.8,True
5995,4.4,4.8,True
5999,4.8,4.6,True
6042,1.4,3.0,False
6054,2.0,3.4,False
6061,1.4,2.0,False
6073,2.8,3.8,False
6077,2.2,2.8,False
6078,2.8,3.4,False
6079,3.0,4.0,False
6088,1.0,1.33333333333333,False
6089,2.0,4.0,False
6111,1.8,2.6,False
6118,2.4,2.8,False
6141,2.8,4.2,False
6150,1.75,1.75,False
6171,1.0,2.6,False
6192,1.8,3.0,False
6212,1.0,1.25,False
6255,3.6,4.4,False
6260,1.2,1.6,False
6265,3.6,4.4,False
6271,1.0,2.0,False
6272,2.75,4.25,False
6274,1.5,3.25,False
6278,3.8,4.8,False
6279,2.2,3.6,False
6284,1.2,2.2,False
6285,1.8,2.2,False
6289,1.0,2.2,False
6306,4.0,5.0,True
6318,3.25,4.25,False
6319,2.625,3.875,False
6335,1.0,1.4,False
6344,4.2,4.0,True
6368,1.4,2.2,False
6370,3.8,4.0,False
6378,1.8,2.6,False
6383,2.4,2.8,False
6394,1.2,3.0,False
6403,2.8,3.6,False
6420,1.0,2.8,False
6425,1.2,2.0,False
6437,1.5,3.2,False
6438,1.2,1.6,False
6441,1.0,1.6,False
6455,1.2,3.6,False
6465,2.6,3.6,False
6472,3.2,4.2,False
6480,1.6,3.6,False
6506,2.0,3.8,False
6509,4.8,4.8,True
6577,3.2,3.6,False
6579,1.0,1.5,False
6601,3.2,4.6,False
6617,2.0,1.8,False
6629,1.2,2.2,False
6635,3.0,3.8,False
6639,1.0,2.75,False
6642,1.6,2.8,False
6651,3.4,4.0,False
6662,1.0,2.25,False
6665,1.0,3.0,False
6671,4.2,5.0,True
6672,4.6,4.8,True
6691,1.6,2.6,False
