qid,question
386,Who is the father of lord Krishna?
589,What Anna Hazare think about PM Modi?
1842,A baby lion raised domestic to the age of 4 ( human years) can survive if he would be released in the wild?
1842,Do cell phone signal repeaters work?
2779,Things to do in Hyderabad?
4806,How does Cantonese Chinese differ from Mandarin?
5125,Can someone enlighten me on national payment corporation of India's initiative on Unified Payment Interface?
7371,"I'm in my last year of dentistry, but I don't want to be a dentist. What should I do to work in some field of pharmacy?"
7427,Which software was used to create WhatsApp?
8538,How is San Diego traffic?
8998,What are some lesser known must-listen songs?
8998,What's the best way to tell a friend they have body odor issues?
9219,In which episode does Edward Elric get taller?
9687,Is career launcher's study materials good for CLAT?
9695,How do you pass time while waiting?
10308,What are the top virtual reality companies?
11274,What are the properties of quantum spin liquid?
14312,Can I change my delivery address after a FedEx package has been shipped?
15969,What is Stuart Scott's prognosis?
18365,What do you pay monthly subscriptions for and how much does it cost?
18927,Which Quora policy Vichitra Zawar violated leading to his account getting banned?
22251,What are the most significant differences between the customs of Jews in The Torah and Orthodox Jews nowadays?
24308,"Which is the best mobile, Windows or Android?"
24544,What is the best book or book series you ever read and why?
25502,Will you computers be able to have dreams or a subconscious mind in the future?
26808,"Why does the `new` operator in JavaScript take precedence over the member (dot or square bracket) operator, and where is that documented? "
26808,What are some cultural faux pas of asking cultural faux pas questions?
28488,What are some impressions of Week Three of the 2012-13 NFL Season?
29169,How did Airbnb make its initial traction?
30196,What is the best pattern for QWOP?
30477,"What is the nearest airport to Daytona Beach, and how do this cities tourist attractions compare to Billing's?"
32787,Bollywood best movie?
35039,Why do people ask questions on Quora instead of Googling it?
37204,How do I crack JP Morgon Round 2?
38711,What are the characteristics of great pizza?
38711,What are my chances to get into an economics PhD program?
41812,Does the TV show Gotham share the same universe with Arrow and The Flash?
42191,Is demonetisation helping Indian economy?
44586,What is the best university in Canada to study medicine?
44919,Why is my PayPal account limited?
46070,Which Indian states are well known in other countries?
46321,Can I recover a deleted snapchat account?
47201,When I try to access developer options on my Asus Zenpad (Android 6.0) I end up playing a retro-style video game instead. Why?
49175,What is the weirdest programming interview question you've been asked?
51672,What will happen to the fish/Tully related symbols in Riverrun?
52282,What are some ways to delete my Yahoo Mail account permanently?
53311,What's going on with MySpace and their platform initiatives?
53311,World of Warcraft (2004 video game): What is it like to play as Warrior in World of Warcraft?
53879,What are some nice 30 days challenge ideas?
57161,What are the best travel hacks to travel cheap around the world?
58230,Why does Lady Rainicorn from Adventure Time speak Korean?
58434,What does ja nai and dekinai mean in Japanese? How are they used?
58523,How do you remove a Gmail account from the app on iPhone?
59809,I forgot my Windows 10 admin password. How can I recover it?
60021,What are the recommended books/materials for the CAT exam preparation?
60244,What is the best software to run all games in a PC?
62298,Can I shift the position of elevator in upper floors?
62299,Is a 3.7821 GPA a 3.7 or does it get rounded to a 3.8?
62442,What does he mean by saying he won't text me anymore while he still says he loves and misses me? He wants me to find a better guy. Could it be true?
62442,What are some great Firefox add-ons?
65230,Why was Friends (the TV show) so successful?
67952,GATE Preparation: Which is the best online coaching for GATE ECE stream?
68076,"Is the electricity, gas and water market in Argentina owned by the government or particulars?"
69156,Why is arabic not offered in schools?
70470,What are the best classes to take at Swarthmore College?
72583,"Which college is better for an MBBS degree - KMC Manipal, or Bangalore Medical College?"
73680,How can we use a turbocharger for a 100cc bike?
73682,What's the best way to learn about linguistics?
74222,What is your favorite movie of all-time and why?
79212,Why do credit cards with a smart chip still have a magnetic strip on the back of them?
80367,What is it like to travel in Iran?
81660,How I can enhance my English language?
84057,Is it necessary to follow an organized religion?
84396,How often should I wear glasses? My prescription is -1.75 and -1.5
85712,Is it safe to apply aloe vera gel on the face overnight?
88605,"Saying that there's infinite energy in zero point energy and infinite virtual particles in vacuum energy, is this a real or just a mathematical thing?"
88738,How can my organization sign up for GSoC?
88850,What will Carrie Fisher's death mean for the next Star Wars movies?
89193,What are the official languages of India?
90402,What are best topics for a seminar?
92409,How do you argue your way out of a speeding ticket?
93561,How do you come to terms with the fact that you are a bad person?
95299,How well do Kendrick Lamar and Anna Kendrick know each other?
102169,Will dividing Nigeria into 3 different countries stop corruption?
102715,What does it feel like to kiss someone?
102782,What opera and classic music has been used in CS-go leagues?
103117,"How is the word ""help"" translated in Japanese?"
104203,What websites offer the best food and drinks deals?
108109,How will our economy will be affected by demonetizing Rs 500 and Rs 1000 notes?
108234,How do we know that distant galaxies aren't made of antimatter?
108561,What according to you is the worst moment of Rio Olympics 2016?
115992,What is the best trading platform for beginners?
116478,Why is Hilary Clinton called a criminal?
116610,What's the need for religion?
121838,How is the work of modi?
125092,How do I learn Japanese online and take notes?
131054,How about the market prospective of recycling waste copper wire?
131831,"What is it like to work in finance and accounting your entire life, starting in your 30s?"
132057,How would you live life if you were immortal?
132854,How can I add a recovery phone number to my Gmail account without password to my account?
135299,How do I create the profile picture like Kevin Mccauley?
135448,What is the best badminton tutorial for a beginner on YouTube?
135733,Why does Ezekiel bread have to be refrigerated?
137250,Did anyone from India get a job through Udacity Nanodegrees?
137396,How likely is it that France leaves the EU?
138392,Will I have a great career if I go for B.Tech in mechanical engineering in a state level college in India?
140025,Why is YouTube not working on Internet Explorer? How can you fix this?
140775,What went wrong with Cyrus Mistry as Tata Group chairman and why was he ousted?
141026,What happens if we don't eat or drink for 1 week?
142179,What would the world be like if Nazi Germany had never lost the war?
142849,"To apply for an H1B, do we need to have transcripts for our degree and PG?"
143907,Why is it so hard to study?
144842,What is the role of a Business Analyst at google?
144867,Can I improve my credit score?
146117,What are the 2 best audiobooks on Community?
146680,What are some of the best sales conversations?
147485,I am in first year. In which direction should I start my preparation to clear for IAS exam?
147485,What are the best excuses?
147534,"What is the literal translation of ""bhaav khaana"" in English?"
147565,How can I increase the traffic on a site?
148432,I have learnt nothing during my CA articleship period what do I do?
149397,What is it like for a biology student (no maths background) to study in iiser?
150054,What exactly is hacking?
152672,What are the best ways to get rid of poverty?
153325,What do you think is the purpose of our existence?
153387,Is thinking the particle doesn't always travel through a single slit in a double slit experiment the biggest incorrect notion in physics?
153477,Which are the best brain twisting psychological thriller movies ever made?
153769,How do you control ITER TCWS heat exchangers?
160047,What are the best apps for helping young children learn to sight-read music?
161775,Is it okay if I see my fiance taking picture with his friend standing close to her?
162675,What are some interesting jobs?
163542,Do you find that American cigarettes smell worse and leave an oily film? (As compared to Mexican or European cigarettes)?
163613,What is a theoretical percentage?
164054,How will Trump's immigration policy influence H1-B workers?
166239,"How can we find professors, PhD & masters students from universities of Ukraine who would like to share their knowledge for free to record MOOCs?"
166395,Should Quora limit the number of characters for questions and answers?
166395,Can we time travel anyhow?
168326,How can I write a essay?
168838,How do I write a letter to the headmaster requesting him to issue T.C. and marks card with reasons?
170291,"What is Part I Company, as per Indian Companies Act, 2013?"
172045,What is the minimum gre score to get an admission into california state university fullerton?
172720,How does Omegle video chat for Android work?
173399,Is it true we have no written records of Anglo Saxon England?
173558,Which country will be better for masters in mechanical engineering?
173558,What are the biggest problems facing China?
175105,"Medical Advice: Is there an alternative to Abilify, Latuda, and Seroquel XR without the akathisia, weight gain, & heat sensitivity?"
177301,Should I buy a used car in finance or cash?
177560,What if the Russo-Japanese War never happened?
178300,Are there any logical reasons to support Donald Trump?
178739,Does it make sense to apologize for something when I'm not sure of what I did wrong?
179307,What are the good tv series to watch?
179484,How are skateboards made?
180347,What is physical fitness?
180733,What is the best way to read a textbook efficiently?
182236,Star Wars: The Force Awakens (2015 movie): [Spoilers] Who are Rey's parents? Is she Luke's daughter?
182551,How will be my married life?
183139,Does the state of California keep old vehicle titles (pink slips) when they're surrendered?
183367,What is real thing between israel and palestine?
186125,"Is America today ""the land of the free""?"
186133,Why do some adults like to bully others?
187289,How can you retrieve a forgotten Spotify username?
187568,Which is the best laptop for computer engineering in college?
187581,How many types of skin complexion are found in India?
187994,What is it like to meet Indian Prime Minister Narendra Modi?
188063,What is book keeping?
189929,What is a good configuration for home use computer?
190482,Whysulphuric acid is called as king of chemical?
192406,Who is the richest person on Quora?
192961,Who are you voting for in the upcoming presidential election and why?
195236,What is the best platform for online cosmetology continuing education?
195240,Why has North Korea just declared war?
195509,Why is a shorter wavelength of light needed to observe small particles or organisms that are not visible to the naked eye?
196221,What dog food brand is best for yorkie puppies?
